"Group","SHA1","ID","Folder","FileName","Title","Media Filename","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Final Fantasy Tactics: The War of the Lions",,014D1DB6,,,,"Final Fantasy Tactics - The War of the Lions",,,,,,?,,,,,,,,,,,,
"Final Fantasy II",,0F27386D,,,,,,,,,,?,,,,,,,,,,,,
"Final Fantasy IV: The Complete Collection",,1D2306E4,,,,"Final Fantasy IV - The Complete Collection",,,,,,?,,,,,,,,,,,,
"Metal Slug XX",,1D35D479,,,,,,,,,,?,,,,,,,,,,,,
"Metal Slug Anthology",,26D6C802,,,,,,,,,,?,,,,,,,,,,,,
"Street Fighter Alpha 3 Max",,399F11DB,,,,,,,,,,?,,,,,,,,,,,,
"Final Fantasy III",,708ED8F3,,,,,,,,,,?,,,,,,,,,,,,
"Tekken: Dark Resurrection",,7120F958,,,,"Tekken - Dark Resurrection",,,,,,?,,,,,,,,,,,,
"Final Fantasy",,85346584,,,,,,,,,,?,,,,,,,,,,,,
"Star Wars Battlefront: Renegade Squadron",,8AFE765F,,,,"Star Wars Battlefront - Renegade Squadron",,,,,es,?,,,,,,,,,,,,
"Naruto Ultimate Ninja Heroes 2",,8ECD6C69,,,,,,,,,,?,,,,,,,,,,,,
"Metal Gear Solid: Portable Ops",,928C609E,,,,"Metal Gear Solid - Portable Ops",,,,,,?,,,,,,,,,,,,
"Monster Hunter Freedom United",,9F3BABE1,,,,,,,,,,?,,,,,,,,,,,,
"Naruto Ultimate Ninja Heroes",,A72319E3,,,,,,,,,,?,,,,,,,,,,,,
"NeoGeo Heroes Ultimate Shooting",,B2A9C6D4,,,,,,,,,us,?,,,,,,,,,,,,
"Star Ocean: First Departure",,C0C04786,,,,"Star Ocean - First Departure",,,,,,?,,,,,,,,,,,,
"Castlevania: The Dracula X Chronicles",,C8A82E67,,,,"Castlevania - The Dracula X Chronicles",,,,,,?,,,,,,,,,,,,
